Input Size,Reverse,Random,Pre-sorted
0,5850.0,9500.0,3000.0
2,3700.0,3500.0,2050.0
4,3550.0,3250.0,1950.0
6,3500.0,2900.0,1900.0
8,3950.0,3200.0,2100.0
10,4200.0,3300.0,2450.0
12,3450.0,3500.0,2300.0
14,3850.0,4100.0,3000.0
16,3850.0,4250.0,2850.0
18,4150.0,4700.0,2300.0
20,4650.0,5400.0,2600.0
22,5250.0,5950.0,2600.0
24,5650.0,6500.0,3050.0
26,6350.0,7200.0,2950.0
28,7000.0,7850.0,2250.0
30,7850.0,8750.0,2450.0
32,8550.0,9700.0,2700.0
34,9450.0,10750.0,2950.0
36,10550.0,11500.0,3050.0
38,11500.0,11500.0,3300.0
40,12250.0,12900.0,3600.0
42,13250.0,14200.0,3700.0
44,14100.0,15400.0,4050.0
46,15250.0,16250.0,4200.0
48,16750.0,17000.0,4650.0
50,17450.0,19100.0,4750.0
52,18850.0,20050.0,5000.0
54,20150.0,21000.0,5150.0
56,21450.0,22150.0,5450.0
58,22700.0,23150.0,5850.0
60,24200.0,23750.0,6150.0
62,25700.0,26500.0,6650.0
64,27250.0,28400.0,6800.0
66,28900.0,28200.0,7200.0
68,30400.0,30550.0,7500.0
70,33150.0,33600.0,7850.0
72,34950.0,40300.0,8400.0
74,35550.0,31650.0,8650.0
76,37400.0,33850.0,9000.0
78,40100.0,35450.0,9500.0
80,41550.0,37400.0,10000.0
82,43750.0,37250.0,10500.0
84,45250.0,39450.0,10750.0
86,47250.0,41250.0,11350.0
88,49850.0,44600.0,11750.0
90,52850.0,48350.0,12200.0
92,53850.0,47400.0,12600.0
94,56000.0,49350.0,13300.0
96,58400.0,50500.0,13850.0
98,60550.0,51000.0,14450.0
100,63000.0,52700.0,14850.0
