Input Size,Reverse,Random,Pre-sorted
0,2158.0,2018.0,1892.0
500,54568.0,67628.0,59000.0
1000,113190.0,133922.0,117362.0
1500,174440.0,220410.0,185870.0
2000,280886.0,324216.0,285316.0
2500,307678.0,377710.0,325846.0
3000,367628.0,458730.0,380022.0
3500,439806.0,550320.0,444600.0
4000,511102.0,646654.0,515760.0
4500,597518.0,727476.0,604728.0
5000,647154.0,820546.0,653770.0
5500,715804.0,918774.0,730484.0
6000,778096.0,1009898.0,805114.0
6500,858426.0,1088334.0,941340.0
7000,926336.0,1182176.0,955752.0
7500,1007094.0,1276840.0,1032398.0
8000,1076572.0,1412510.0,1110226.0
8500,1142178.0,1478474.0,1176916.0
9000,1218794.0,1583596.0,1242946.0
9500,1284094.0,1660870.0,1327746.0
10000,1364732.0,1767046.0,1413440.0
10500,1434846.0,1848376.0,1484390.0
11000,1501564.0,1961588.0,1545964.0
11500,1577650.0,2032488.0,1622660.0
12000,1643924.0,2132402.0,1697720.0
12500,1719698.0,2243624.0,1769538.0
13000,1802314.0,2332322.0,1841108.0
13500,1879154.0,2490480.0,1908474.0
14000,1959236.0,2540690.0,1996822.0
14500,2028720.0,2634748.0,2075456.0
15000,2111208.0,2731656.0,2150588.0
15500,2172936.0,2846898.0,2211136.0
16000,2275642.0,2943814.0,2304864.0
16500,2330446.0,3067464.0,2379776.0
17000,2415948.0,3139066.0,2451056.0
17500,2476238.0,3256492.0,2532250.0
18000,2567168.0,3363630.0,2614852.0
18500,2625062.0,3491930.0,2678778.0
19000,2733746.0,3574668.0,2753342.0
19500,2776054.0,3675586.0,2836940.0
20000,2869740.0,3774364.0,2933578.0
20500,2951838.0,3896136.0,3009526.0
21000,3059634.0,4004720.0,3093728.0
21500,3155560.0,4085274.0,3160412.0
22000,3170120.0,4247116.0,3243650.0
22500,3256962.0,4298166.0,3317372.0
23000,3359860.0,4400282.0,3466790.0
23500,3450604.0,4533832.0,3540582.0
24000,3479258.0,4692064.0,3581682.0
24500,3572414.0,4752486.0,3656114.0
25000,3659994.0,4909760.0,3821344.0
25500,3743352.0,4988218.0,3831740.0
26000,3808918.0,5120336.0,3956278.0
26500,3886382.0,5188418.0,3984954.0
27000,3961690.0,5313008.0,4051314.0
27500,4035770.0,5397264.0,4162578.0
28000,4212572.0,5516918.0,4244302.0
28500,4205268.0,5687332.0,4344664.0
29000,4304414.0,5735386.0,4373218.0
29500,4373036.0,5845308.0,4487438.0
30000,4468072.0,5979906.0,4548794.0
30500,4516286.0,6045140.0,4634650.0
31000,4629190.0,6201978.0,4746364.0
31500,4688482.0,6416444.0,4773520.0
32000,4757614.0,6456042.0,4902168.0
32500,4858486.0,6688060.0,4902020.0
33000,4911488.0,6630784.0,4998564.0
33500,5029880.0,6712858.0,5084826.0
34000,5094504.0,6872830.0,5177350.0
34500,5157906.0,7032740.0,5264284.0
35000,5257006.0,7221772.0,5344510.0
35500,5372118.0,7194140.0,5445620.0
36000,5443554.0,7272036.0,5504508.0
36500,5513406.0,7418360.0,5640026.0
37000,5594458.0,7526496.0,5682812.0
37500,5741572.0,7685328.0,5764246.0
38000,5794210.0,7734042.0,5833738.0
38500,5840472.0,7871306.0,5951244.0
39000,5941644.0,7966884.0,6025598.0
39500,6036254.0,8063182.0,6103592.0
40000,6132920.0,8178532.0,6174750.0
40500,6207870.0,8235382.0,6274974.0
41000,6269712.0,8401936.0,6348340.0
41500,6381010.0,8492282.0,6444504.0
42000,6588962.0,8571186.0,6538532.0
42500,6574784.0,8690492.0,6617270.0
43000,6697408.0,8830418.0,6725706.0
43500,6756682.0,9659918.0,6773868.0
44000,6825092.0,9034000.0,6835032.0
44500,6845996.0,9112282.0,6917678.0
45000,6986678.0,9270412.0,6988134.0
45500,7036448.0,9405318.0,7106308.0
46000,7126762.0,9497706.0,7219822.0
46500,7201558.0,9741734.0,7271720.0
47000,7351100.0,9768728.0,7374258.0
47500,7369834.0,9990044.0,7447420.0
48000,7532484.0,10066478.0,7514472.0
48500,7512920.0,10114512.0,7647584.0
49000,7644568.0,10185180.0,7688198.0
49500,7820260.0,10304344.0,7802468.0
50000,7814996.0,10460246.0,7875732.0
50500,7932570.0,10654506.0,7942098.0
51000,8022234.0,10695764.0,8037540.0
51500,8119736.0,10787602.0,8148814.0
52000,8151452.0,10893542.0,8197298.0
52500,8243944.0,10980692.0,8313188.0
53000,8318776.0,11055776.0,8388938.0
53500,8385986.0,11239334.0,8426110.0
54000,8523724.0,11363382.0,8507620.0
54500,8614980.0,11461528.0,8583080.0
55000,8652810.0,11573806.0,8687560.0
55500,8748468.0,11679256.0,8819396.0
56000,8872874.0,11810084.0,8870818.0
56500,8845124.0,11843504.0,8942718.0
57000,9054806.0,11989080.0,8995288.0
57500,9037586.0,12121036.0,9101598.0
58000,9206068.0,12230272.0,9187534.0
58500,9226532.0,12368802.0,9280876.0
59000,9306232.0,12471152.0,9382470.0
59500,9349612.0,12606174.0,9475818.0
60000,9498790.0,12683392.0,9565714.0
60500,9519162.0,12922432.0,9734232.0
61000,9642778.0,12890842.0,9814360.0
61500,9713034.0,13036206.0,9884776.0
62000,9787754.0,13164368.0,9987898.0
62500,9839322.0,13330736.0,10196712.0
63000,9995586.0,13392696.0,10057704.0
63500,10062918.0,13473118.0,10143578.0
64000,10113192.0,13615162.0,10220920.0
64500,10204482.0,13672940.0,10358776.0
65000,10338826.0,13874880.0,10433616.0
65500,10412950.0,13989752.0,10460708.0
66000,10453146.0,14090206.0,10604076.0
66500,10550866.0,14293706.0,10714340.0
67000,10658890.0,14285204.0,10703278.0
67500,10754142.0,14539778.0,10823054.0
68000,10872454.0,14530896.0,10948164.0
68500,10904658.0,14645374.0,11014124.0
69000,10985120.0,14796740.0,11094692.0
69500,11059004.0,14932484.0,11177026.0
70000,11133048.0,15205574.0,11364694.0
70500,11253656.0,15342870.0,11402522.0
71000,11314796.0,15324644.0,11527940.0
71500,11419342.0,15434230.0,11583826.0
72000,11492730.0,15577434.0,11638618.0
72500,11581838.0,15689580.0,11749330.0
73000,11679066.0,16306622.0,12295248.0
73500,11771822.0,15901822.0,11906224.0
74000,11853448.0,15976452.0,11965598.0
74500,11932692.0,16154928.0,12098678.0
75000,12057362.0,16273460.0,12279876.0
75500,12137646.0,16370932.0,12283454.0
76000,12328832.0,16491356.0,12344362.0
76500,12314598.0,16564232.0,12492872.0
77000,12520030.0,16721742.0,12561418.0
77500,12603108.0,16849892.0,12657432.0
78000,12632236.0,16974408.0,12723990.0
78500,12676066.0,17120092.0,12920254.0
79000,12724998.0,17361576.0,12913650.0
79500,12843248.0,17301924.0,13008590.0
80000,12922556.0,17526180.0,13052220.0
80500,12961122.0,17627450.0,13168880.0
81000,13078762.0,17878672.0,13340056.0
81500,13115806.0,18320872.0,13329474.0
82000,13192516.0,18096618.0,13442896.0
82500,13290328.0,18152716.0,13439452.0
83000,13425834.0,18152840.0,13612404.0
83500,13518058.0,18286508.0,13656206.0
84000,13588362.0,18387932.0,13776154.0
84500,13667340.0,18515442.0,13853236.0
85000,13764046.0,18677056.0,13914262.0
85500,13932920.0,18874328.0,13971362.0
86000,13997494.0,19010394.0,14098312.0
86500,14136626.0,19229758.0,14204338.0
87000,14241380.0,19378528.0,14349552.0
87500,14355338.0,19419626.0,14402348.0
88000,14417062.0,19548716.0,14547896.0
88500,14402950.0,19714000.0,14676092.0
89000,14611190.0,19666798.0,14681392.0
89500,14674430.0,19983798.0,14929806.0
90000,14684086.0,19918054.0,15024746.0
90500,14705024.0,20073490.0,15094822.0
91000,14836488.0,20095560.0,15276994.0
91500,14859686.0,20228096.0,15457856.0
92000,14972226.0,20372272.0,15374080.0
92500,15016644.0,20565634.0,15666554.0
93000,15183434.0,20574460.0,15738846.0
93500,15224440.0,20773208.0,15630224.0
94000,15297896.0,20987420.0,15739282.0
94500,15376594.0,21032580.0,15749538.0
95000,15477656.0,21197750.0,15847364.0
95500,15556770.0,21450122.0,16458438.0
96000,15699290.0,21542810.0,16003690.0
96500,15779860.0,21630118.0,16261934.0
97000,15855996.0,21742734.0,16108564.0
97500,16005292.0,21805070.0,16223458.0
98000,16091706.0,21893712.0,16299910.0
98500,16108914.0,22052228.0,16376086.0
99000,16309578.0,22160074.0,16472042.0
99500,16298490.0,22241670.0,16566804.0
100000,16492092.0,22420142.0,16629132.0
