Input Size,Reverse,Random,Pre-sorted
0,2076.0,2336.0,1930.0
500,30694.0,50482.0,30398.0
1000,58112.0,98334.0,58502.0
1500,92126.0,157146.0,94584.0
2000,133626.0,256808.0,130858.0
2500,176330.0,275044.0,165738.0
3000,192132.0,328086.0,190558.0
3500,221236.0,390238.0,224446.0
4000,258936.0,457504.0,253312.0
4500,291586.0,534758.0,289074.0
5000,340010.0,567006.0,336734.0
5500,361758.0,631832.0,358172.0
6000,398928.0,688514.0,402166.0
6500,433098.0,754426.0,441990.0
7000,467824.0,821396.0,470726.0
7500,510822.0,912464.0,509424.0
8000,550530.0,950076.0,547454.0
8500,591764.0,1023770.0,587824.0
9000,631340.0,1081650.0,613946.0
9500,663936.0,1139400.0,657374.0
10000,699678.0,1233078.0,690632.0
10500,735432.0,1296608.0,732754.0
11000,767206.0,1358052.0,773046.0
11500,816386.0,1416248.0,811736.0
12000,840038.0,1472336.0,843680.0
12500,871372.0,1540854.0,873964.0
13000,910004.0,1628418.0,916516.0
13500,955024.0,1692650.0,961936.0
14000,989238.0,1735702.0,993398.0
14500,1019818.0,1809228.0,1028260.0
15000,1061928.0,1878616.0,1063160.0
15500,1110338.0,1948462.0,1106650.0
16000,1136744.0,2012226.0,1133144.0
16500,1177580.0,2108372.0,1172814.0
17000,1215546.0,2208772.0,1213408.0
17500,1270166.0,2220676.0,1270870.0
18000,1301550.0,2290670.0,1301912.0
18500,1333862.0,2357740.0,1331704.0
19000,1379238.0,2428672.0,1402822.0
19500,1429048.0,2508320.0,1443160.0
20000,1464464.0,2567194.0,1481810.0
20500,1486038.0,2637982.0,1504824.0
21000,1523684.0,2729594.0,1558860.0
21500,1581502.0,2816458.0,1603490.0
22000,1606272.0,2897014.0,1673416.0
22500,1634146.0,2920778.0,1719034.0
23000,1687546.0,2964348.0,1778776.0
23500,1741000.0,3041200.0,1832892.0
24000,1770000.0,3101254.0,1860256.0
24500,1797238.0,3154172.0,1876242.0
25000,1853428.0,3261534.0,1856492.0
25500,1899044.0,3339184.0,1901988.0
26000,1921884.0,3404882.0,1926552.0
26500,1964168.0,3460428.0,1959972.0
27000,2005928.0,3543900.0,2028612.0
27500,2040836.0,3618788.0,2079474.0
28000,2080174.0,3680596.0,2089446.0
28500,2134704.0,3745384.0,2143816.0
29000,2193768.0,3842320.0,2183834.0
29500,2249708.0,3884998.0,2236752.0
30000,2272294.0,4003740.0,2259900.0
30500,2315292.0,4054622.0,2305790.0
31000,2361624.0,4133730.0,2345528.0
31500,2388814.0,4170162.0,2345702.0
32000,2403424.0,4280358.0,2405138.0
32500,2460298.0,4326094.0,2420908.0
33000,2533814.0,4399586.0,2469162.0
33500,2527452.0,4482528.0,2556910.0
34000,2592182.0,4560452.0,2588938.0
34500,2603444.0,4664068.0,2621558.0
35000,2694494.0,4723950.0,2664928.0
35500,2724412.0,4765648.0,2680272.0
36000,2736540.0,4834600.0,2728710.0
36500,2771562.0,4909674.0,2752126.0
37000,2793664.0,4999826.0,2790976.0
37500,2882770.0,5114126.0,2838848.0
38000,2910052.0,5133222.0,2914862.0
38500,2953600.0,5258240.0,2931658.0
39000,2973684.0,5396422.0,2987016.0
39500,3034078.0,5392650.0,3026052.0
40000,3049404.0,5447294.0,3048130.0
40500,3083144.0,5509896.0,3110028.0
41000,3155510.0,5543606.0,3112716.0
41500,3185574.0,5657200.0,3181612.0
42000,3211216.0,5708610.0,3233016.0
42500,3278334.0,5841920.0,3259382.0
43000,3337764.0,5930836.0,3302194.0
43500,3326574.0,5982502.0,3375400.0
44000,3369294.0,6057776.0,3387290.0
44500,3421196.0,6123548.0,3434800.0
45000,3465434.0,6173778.0,3452476.0
45500,3488308.0,6329794.0,3514894.0
46000,3564908.0,6310590.0,3547474.0
46500,3599298.0,6388456.0,3579796.0
47000,3651650.0,6479546.0,3641988.0
47500,3708314.0,6539686.0,3679996.0
48000,3712376.0,6606554.0,3746016.0
48500,3762576.0,6732524.0,3782574.0
49000,3786576.0,6716808.0,3798452.0
49500,3836722.0,6823580.0,3837242.0
50000,3887228.0,6930610.0,3880974.0
50500,3928632.0,7003834.0,3950612.0
51000,3939588.0,7073730.0,3959906.0
51500,4005522.0,7162750.0,4015608.0
52000,4054406.0,7235290.0,4054710.0
52500,4108664.0,7284116.0,4092382.0
53000,4118046.0,7343074.0,4127508.0
53500,4163600.0,7398178.0,4157428.0
54000,4201450.0,7531062.0,4230122.0
54500,4256856.0,7662500.0,4283272.0
55000,4315004.0,7692762.0,4325092.0
55500,4341218.0,7785922.0,4330638.0
56000,4379530.0,7816100.0,4368016.0
56500,4420102.0,7898354.0,4424714.0
57000,4466372.0,8023770.0,4449808.0
57500,4536646.0,8110702.0,4501670.0
58000,4576852.0,8106014.0,4541244.0
58500,4638898.0,8176184.0,4623700.0
59000,4708096.0,8266324.0,4701386.0
59500,4719526.0,8333862.0,4726402.0
60000,4755490.0,8462254.0,4742674.0
60500,4807688.0,8564592.0,4771290.0
61000,4861416.0,8611722.0,4857260.0
61500,4953186.0,8694722.0,4859966.0
62000,4988310.0,8798468.0,4894462.0
62500,5040278.0,8879318.0,4950234.0
63000,5046548.0,8911460.0,4963446.0
63500,5062178.0,9017752.0,5011090.0
64000,5112634.0,9080322.0,5029442.0
64500,5126678.0,9141712.0,5071610.0
65000,5168104.0,9152342.0,5112986.0
