Input Size,Reverse,Random,Pre-sorted
0,4700.0,4550.0,5100.0
2,2100.0,3100.0,1850.0
4,1800.0,2900.0,1450.0
6,1850.0,4050.0,1450.0
8,1750.0,3550.0,1250.0
10,1800.0,3650.0,1400.0
12,1750.0,4050.0,1550.0
14,1900.0,3450.0,1850.0
16,2050.0,2650.0,1900.0
18,1950.0,2650.0,1950.0
20,1850.0,2550.0,2500.0
22,1800.0,2550.0,1900.0
24,1900.0,2500.0,1700.0
26,2000.0,4650.0,1150.0
28,1750.0,2450.0,1150.0
30,1750.0,2600.0,1150.0
32,1950.0,2400.0,1250.0
34,2100.0,2500.0,1150.0
36,2250.0,2550.0,1150.0
38,2000.0,2750.0,1300.0
40,1750.0,2850.0,1750.0
42,2350.0,2650.0,1550.0
44,14800.0,2600.0,1400.0
46,2250.0,2700.0,1500.0
48,2300.0,2700.0,1850.0
50,2050.0,2700.0,1350.0
52,2550.0,2500.0,1300.0
54,2000.0,2800.0,1200.0
56,2050.0,2650.0,1250.0
58,2050.0,2550.0,1200.0
60,2150.0,2500.0,2000.0
62,1900.0,2350.0,1350.0
64,1950.0,2300.0,1350.0
66,2000.0,2300.0,1500.0
68,1950.0,2300.0,1700.0
70,1950.0,2300.0,1450.0
72,2050.0,2300.0,1400.0
74,2000.0,2300.0,1350.0
76,1900.0,2300.0,1400.0
78,2000.0,2250.0,2400.0
80,2000.0,2250.0,1450.0
82,2100.0,2500.0,1550.0
84,2050.0,2350.0,1550.0
86,2550.0,2550.0,1550.0
88,2600.0,2350.0,1400.0
90,2000.0,3650.0,1350.0
92,2150.0,3150.0,1300.0
94,1950.0,2450.0,1300.0
96,2000.0,2400.0,1650.0
98,2000.0,2900.0,1300.0
100,2150.0,2350.0,1450.0
