Input Size,QuickSort,MergeSort,HeapSort,BubbleSort,NoSort
0,5900.0,4700.0,4150.0,3300.0,2800.0
2,3600.0,2850.0,2350.0,3400.0,4800.0
4,2800.0,3550.0,2500.0,2350.0,2050.0
6,3100.0,3500.0,2650.0,1950.0,1850.0
8,3200.0,4700.0,2900.0,1400.0,1750.0
10,2950.0,3750.0,3600.0,1500.0,1700.0
12,3200.0,8750.0,4050.0,1800.0,2550.0
14,3600.0,5400.0,7750.0,1700.0,1950.0
16,3300.0,4250.0,5000.0,1900.0,1550.0
18,4150.0,5900.0,4650.0,1850.0,1150.0
20,4000.0,4450.0,5750.0,2350.0,1250.0
22,3450.0,5150.0,5150.0,3100.0,1300.0
24,3550.0,4800.0,5550.0,2550.0,1050.0
26,3800.0,5350.0,5600.0,2600.0,1050.0
28,3700.0,5350.0,6200.0,2600.0,1000.0
30,4450.0,5650.0,7000.0,2800.0,1250.0
32,3850.0,5700.0,6500.0,3000.0,1200.0
34,4350.0,6300.0,6900.0,3250.0,2150.0
36,4500.0,6350.0,7600.0,3500.0,1200.0
38,4700.0,6600.0,7550.0,3550.0,1400.0
40,4100.0,6600.0,8050.0,3850.0,2950.0
42,4500.0,7450.0,8600.0,4100.0,1150.0
44,4650.0,7000.0,8800.0,4800.0,1300.0
46,4700.0,7400.0,8500.0,5050.0,1300.0
48,5050.0,7700.0,9500.0,5600.0,2000.0
50,6700.0,8250.0,9550.0,5750.0,1050.0
52,5050.0,8000.0,10000.0,6050.0,1000.0
54,6550.0,8050.0,10150.0,6450.0,1050.0
56,5150.0,8350.0,9200.0,6850.0,1150.0
58,5500.0,9300.0,9850.0,7350.0,1000.0
60,5250.0,9250.0,10600.0,7700.0,1000.0
62,5400.0,9250.0,11000.0,8150.0,850.0
64,5800.0,9450.0,11850.0,8700.0,900.0
66,6000.0,10050.0,12050.0,8950.0,950.0
68,5850.0,10100.0,12200.0,9650.0,950.0
70,6300.0,10200.0,13550.0,10100.0,1100.0
72,7750.0,10200.0,12900.0,10550.0,1250.0
74,6350.0,10700.0,13700.0,11000.0,1050.0
76,6350.0,10400.0,13750.0,11400.0,1100.0
78,6750.0,15100.0,14200.0,11900.0,1000.0
80,6150.0,11550.0,14600.0,12350.0,1000.0
82,6950.0,12200.0,15700.0,13200.0,1100.0
84,6600.0,11950.0,16450.0,13450.0,1000.0
86,6950.0,12000.0,15950.0,14000.0,3750.0
88,6700.0,12000.0,16450.0,14900.0,1000.0
90,7100.0,12500.0,14050.0,15300.0,1050.0
92,6850.0,12600.0,14650.0,15950.0,1050.0
94,7150.0,12900.0,15150.0,16450.0,1050.0
96,7100.0,12750.0,15750.0,17200.0,1650.0
98,7450.0,13600.0,15750.0,17850.0,1050.0
100,7750.0,13600.0,16200.0,18450.0,1000.0
