Input Size,Reverse,Random,Pre-sorted
0,11000.0,3600.0,3650.0
2,3150.0,2700.0,2150.0
4,2250.0,2750.0,1900.0
6,2450.0,2750.0,2200.0
8,2450.0,3100.0,2200.0
10,2550.0,3200.0,2300.0
12,3050.0,3450.0,2450.0
14,3450.0,3900.0,2650.0
16,3200.0,3850.0,2550.0
18,3200.0,4250.0,2650.0
20,3150.0,5600.0,2950.0
22,3400.0,5150.0,2950.0
24,3300.0,10750.0,3050.0
26,4000.0,5450.0,3550.0
28,3300.0,5800.0,3400.0
30,3500.0,6050.0,3550.0
32,3250.0,6300.0,3150.0
34,3700.0,6600.0,3650.0
36,3600.0,6850.0,3600.0
38,3900.0,7450.0,3300.0
40,3650.0,7350.0,3900.0
42,3950.0,8000.0,3650.0
44,3850.0,8250.0,3450.0
46,3950.0,8950.0,3500.0
48,4250.0,9250.0,3600.0
50,4450.0,9300.0,3950.0
52,4350.0,9250.0,3750.0
54,4600.0,9700.0,3800.0
56,4200.0,9600.0,3650.0
58,4700.0,10300.0,4150.0
60,4500.0,10900.0,4250.0
62,4850.0,10900.0,4200.0
64,4900.0,11050.0,4200.0
66,5150.0,11300.0,4450.0
68,5050.0,11750.0,4450.0
70,5450.0,13200.0,4950.0
72,6450.0,13050.0,4650.0
74,5750.0,13050.0,4600.0
76,5550.0,13650.0,4650.0
78,5750.0,14300.0,5150.0
80,5300.0,13750.0,4800.0
82,5900.0,14250.0,5650.0
84,5700.0,14250.0,5100.0
86,5950.0,14800.0,5150.0
88,5650.0,14850.0,4950.0
90,6100.0,15450.0,5350.0
92,5850.0,16000.0,5250.0
94,6100.0,16450.0,5350.0
96,5850.0,16300.0,5250.0
98,7100.0,17150.0,5950.0
100,7150.0,17600.0,5800.0
