Input Size,QuickSort,MergeSort,HeapSort,BubbleSort,NoSort
0,2267.0,2286.0,2299.0,1911.0,2483.0
50,5085.0,7430.0,7228.0,9263.0,1195.0
100,8141.0,9127.0,10936.0,26940.0,1260.0
150,12402.0,14122.0,16927.0,52571.0,1122.0
200,16049.0,18258.0,21967.0,88723.0,1124.0
250,20294.0,22054.0,28165.0,128328.0,1070.0
300,24224.0,27509.0,34258.0,190390.0,1092.0
350,28429.0,31510.0,41208.0,279976.0,1109.0
400,33936.0,37020.0,49013.0,328672.0,1065.0
450,41707.0,47806.0,66307.0,397768.0,1162.0
500,48549.0,53351.0,70098.0,471107.0,1119.0
550,53894.0,58239.0,72593.0,568344.0,1704.0
600,51915.0,57139.0,75414.0,666772.0,1186.0
650,55782.0,62517.0,83707.0,790273.0,1551.0
700,59089.0,68124.0,87324.0,934037.0,1188.0
750,63400.0,70654.0,97287.0,1051058.0,1147.0
800,68235.0,76656.0,101065.0,1148441.0,1139.0
850,72782.0,81319.0,110056.0,1301032.0,1462.0
900,77812.0,85690.0,118143.0,1459841.0,1120.0
950,84018.0,91291.0,125687.0,1611853.0,1171.0
1000,88262.0,96066.0,131583.0,1793521.0,1200.0
1050,90909.0,103503.0,139982.0,1991928.0,1175.0
1100,95659.0,109259.0,146580.0,2194119.0,1169.0
1150,103554.0,113799.0,153812.0,2391023.0,1182.0
1200,107803.0,118672.0,170824.0,2571090.0,1180.0
1250,112345.0,125163.0,180121.0,2786819.0,4794.0
1300,119638.0,145460.0,184337.0,3000135.0,1600.0
1350,124694.0,148826.0,182531.0,3233216.0,1350.0
1400,125775.0,140755.0,192833.0,3459944.0,1267.0
1450,131227.0,145722.0,201201.0,3715132.0,1240.0
1500,137185.0,149152.0,209751.0,3973996.0,1160.0
1550,142208.0,155922.0,217923.0,4302170.0,1210.0
1600,146257.0,164134.0,223552.0,4561391.0,1216.0
1650,151671.0,169807.0,231698.0,4813031.0,1228.0
1700,156374.0,176151.0,240856.0,5120791.0,1158.0
1750,162894.0,179827.0,249565.0,5430554.0,1155.0
1800,167825.0,185768.0,261790.0,5765211.0,1211.0
1850,170637.0,189661.0,262814.0,6132123.0,1213.0
1900,177128.0,199457.0,272130.0,6438666.0,2027.0
1950,180832.0,200662.0,281409.0,6799228.0,1254.0
2000,185379.0,208592.0,294921.0,7156241.0,1533.0
2050,191739.0,211285.0,299587.0,7528931.0,1391.0
2100,198427.0,221958.0,308711.0,7932714.0,1311.0
2150,203215.0,228583.0,312819.0,8361427.0,1270.0
2200,209362.0,234602.0,324532.0,8813223.0,1273.0
2250,214527.0,237806.0,335161.0,9163428.0,1306.0
2300,217077.0,244677.0,336057.0,9620477.0,1270.0
2350,222505.0,252541.0,345746.0,10048058.0,1300.0
2400,227189.0,257802.0,358169.0,10540847.0,1600.0
2450,232506.0,259936.0,361935.0,10991741.0,1437.0
2500,239780.0,269404.0,367132.0,11472738.0,1426.0
2550,243597.0,268477.0,379977.0,11968453.0,1302.0
2600,248771.0,277402.0,392798.0,12452236.0,1321.0
2650,253856.0,282498.0,393700.0,12970487.0,1334.0
2700,255844.0,289481.0,396497.0,13533756.0,1365.0
2750,259106.0,296537.0,412937.0,14081253.0,1526.0
2800,264203.0,301838.0,421825.0,14630774.0,1628.0
2850,270366.0,306055.0,424835.0,15202877.0,1652.0
2900,278671.0,311526.0,440869.0,15786930.0,1589.0
2950,281554.0,319476.0,444851.0,16441342.0,1499.0
3000,285121.0,322640.0,455436.0,17062633.0,1748.0
3050,291820.0,325862.0,462408.0,17568522.0,1553.0
3100,296453.0,334774.0,469114.0,18271314.0,1477.0
3150,304644.0,342669.0,476678.0,18969274.0,1474.0
3200,306839.0,352223.0,486100.0,19611092.0,1490.0
3250,312322.0,352541.0,488179.0,20259256.0,1513.0
3300,317838.0,358512.0,497495.0,21042356.0,1492.0
3350,325711.0,363736.0,507010.0,21572583.0,1495.0
3400,327107.0,369536.0,513515.0,22247655.0,1472.0
3450,333290.0,373884.0,524078.0,22975664.0,1389.0
3500,336527.0,381600.0,534344.0,23777179.0,1474.0
3550,342120.0,387007.0,540795.0,24497137.0,1516.0
3600,345612.0,389614.0,553494.0,25263454.0,1342.0
3650,351341.0,395725.0,562048.0,26091820.0,1346.0
3700,356844.0,405788.0,566829.0,26801681.0,1511.0
3750,364458.0,410679.0,580596.0,27682539.0,1698.0
3800,368735.0,417082.0,585655.0,28482661.0,1783.0
3850,374888.0,425716.0,596818.0,29336945.0,1684.0
3900,382287.0,428364.0,601984.0,30214770.0,1526.0
3950,382995.0,435775.0,610591.0,31140993.0,1483.0
4000,387812.0,438410.0,620748.0,31894572.0,1554.0
4050,396550.0,441193.0,630198.0,32847933.0,1545.0
4100,401658.0,446548.0,634792.0,33814023.0,1935.0
4150,408707.0,457286.0,647605.0,34720272.0,1745.0
4200,413314.0,466985.0,658911.0,35626936.0,1539.0
4250,413263.0,470926.0,663716.0,36705998.0,1612.0
4300,421441.0,478454.0,676718.0,37692557.0,1303.0
4350,424949.0,483203.0,683097.0,38676627.0,1386.0
4400,430507.0,488949.0,696620.0,39582697.0,1484.0
4450,436659.0,496454.0,703946.0,40568104.0,1334.0
4500,447680.0,501853.0,708052.0,41621489.0,1262.0
4550,448549.0,505703.0,716489.0,42588105.0,1650.0
4600,450903.0,509011.0,727609.0,43609309.0,1302.0
4650,458993.0,519296.0,736778.0,44761154.0,1302.0
4700,463123.0,524110.0,746163.0,45880879.0,1336.0
4750,471066.0,530661.0,752117.0,46891921.0,1291.0
4800,477345.0,537639.0,766282.0,48229231.0,1303.0
4850,480407.0,546130.0,773493.0,49282124.0,1275.0
4900,485096.0,552769.0,801810.0,50163643.0,1287.0
4950,492943.0,555850.0,790186.0,51382117.0,1273.0
5000,496867.0,561619.0,796577.0,52541563.0,1323.0
5050,501133.0,570929.0,804349.0,53625051.0,1285.0
5100,510936.0,568209.0,812105.0,54717873.0,1542.0
5150,516992.0,575312.0,825736.0,55742981.0,1367.0
5200,516809.0,581351.0,836209.0,56966892.0,1403.0
5250,524997.0,590295.0,854074.0,58165786.0,1453.0
5300,534442.0,595253.0,850155.0,59462727.0,1924.0
5350,534570.0,604706.0,857850.0,60776448.0,1355.0
5400,539413.0,611357.0,867832.0,62120260.0,1292.0
5450,544547.0,618373.0,874318.0,63255420.0,1314.0
5500,550585.0,627110.0,887800.0,64796233.0,1362.0
5550,560251.0,633328.0,898539.0,65787683.0,1586.0
5600,559918.0,635343.0,920651.0,67087939.0,1369.0
5650,565763.0,639681.0,935826.0,68490905.0,1601.0
5700,567041.0,645698.0,921707.0,69991812.0,1281.0
5750,573523.0,649365.0,927390.0,71549961.0,1369.0
5800,586158.0,659157.0,935147.0,72782812.0,1634.0
5850,587476.0,668394.0,941693.0,74395985.0,1402.0
5900,589240.0,674820.0,954041.0,75763839.0,1273.0
5950,594307.0,682292.0,968743.0,76980264.0,1326.0
6000,604385.0,684721.0,978620.0,78440976.0,1312.0
6050,607424.0,688641.0,983670.0,79890574.0,1295.0
6100,612523.0,692530.0,996082.0,81535365.0,1280.0
6150,618098.0,697249.0,1000656.0,82696464.0,1279.0
6200,622966.0,705452.0,1006498.0,84299698.0,1287.0
6250,631052.0,712746.0,1017460.0,85933198.0,1432.0
6300,635884.0,719337.0,1029597.0,87336906.0,1336.0
6350,641506.0,729015.0,1048540.0,88907222.0,1295.0
6400,641288.0,735377.0,1047145.0,90156951.0,1282.0
6450,650666.0,747525.0,1053215.0,91883039.0,1294.0
6500,655366.0,747127.0,1067645.0,93459735.0,1366.0
6550,662389.0,753673.0,1070469.0,95133751.0,1330.0
6600,667602.0,758292.0,1077642.0,96749187.0,1284.0
6650,670485.0,760959.0,1085487.0,97989477.0,1284.0
6700,684960.0,767556.0,1094894.0,99718133.0,1322.0
6750,685362.0,773935.0,1109927.0,101127474.0,1294.0
6800,685279.0,783982.0,1117114.0,102705069.0,1370.0
6850,691241.0,788740.0,1131954.0,104755479.0,1393.0
6900,703503.0,798364.0,1135147.0,106516007.0,1320.0
6950,705129.0,801125.0,1144912.0,107985504.0,1373.0
7000,719010.0,807973.0,1148551.0,109657302.0,1327.0
7050,717095.0,810664.0,1167841.0,111358927.0,1335.0
7100,720684.0,815756.0,1172218.0,113228471.0,1481.0
7150,726843.0,822689.0,1186199.0,115272015.0,1381.0
7200,730595.0,830132.0,1188187.0,116931933.0,1335.0
7250,735263.0,842535.0,1198701.0,118611056.0,1368.0
7300,748377.0,845185.0,1205618.0,120542096.0,1518.0
7350,749824.0,850212.0,1219645.0,122282614.0,1580.0
7400,755560.0,857013.0,1229595.0,123834100.0,1332.0
7450,762022.0,865860.0,1236568.0,125752231.0,1373.0
7500,768643.0,873421.0,1250348.0,127654626.0,1747.0
7550,776078.0,883900.0,1254343.0,129235085.0,1404.0
7600,775123.0,889243.0,1264309.0,131333151.0,1381.0
7650,780828.0,889495.0,1276816.0,133354415.0,1326.0
7700,790284.0,895799.0,1290776.0,135055911.0,1435.0
7750,792901.0,904865.0,1300528.0,136864503.0,1396.0
7800,796464.0,912206.0,1301500.0,138995053.0,1466.0
7850,809080.0,914145.0,1308901.0,141344714.0,1760.0
7900,813508.0,924503.0,1314857.0,142986026.0,1367.0
7950,812297.0,932000.0,1329980.0,145548651.0,1381.0
8000,822893.0,931151.0,1346101.0,146780310.0,1298.0
8050,831559.0,939615.0,1349643.0,148335732.0,1317.0
8100,833855.0,942406.0,1359234.0,150616767.0,1304.0
8150,842610.0,948520.0,1364862.0,152658276.0,1329.0
8200,842673.0,954250.0,1372220.0,155393089.0,1332.0
8250,847794.0,965317.0,1388004.0,157280012.0,1331.0
8300,856065.0,976730.0,1400291.0,159898322.0,1273.0
8350,861674.0,980436.0,1411222.0,160873033.0,1355.0
8400,869343.0,985121.0,1418695.0,162901822.0,1275.0
8450,875779.0,996548.0,1425238.0,164870235.0,1276.0
8500,880559.0,1005408.0,1426994.0,167235209.0,1292.0
8550,878914.0,1015079.0,1443964.0,169316309.0,1543.0
8600,891725.0,1017929.0,1459375.0,171797421.0,1412.0
8650,892600.0,1022460.0,1472076.0,174618998.0,1801.0
8700,895642.0,1024350.0,1467669.0,176360850.0,1354.0
8750,904910.0,1030599.0,1481877.0,178536796.0,1373.0
8800,908299.0,1038237.0,1486397.0,180283716.0,1337.0
8850,914001.0,1046704.0,1504594.0,182768979.0,1359.0
8900,924505.0,1055862.0,1511962.0,185233237.0,1416.0
8950,923446.0,1059352.0,1518073.0,187949885.0,1307.0
9000,929856.0,1066932.0,1527408.0,189868717.0,1301.0
9050,938735.0,1072940.0,1536429.0,191631507.0,1372.0
9100,949455.0,1076741.0,1543481.0,194073160.0,1361.0
9150,951617.0,1084039.0,1564121.0,196584202.0,1334.0
9200,964808.0,1086954.0,1569846.0,198614467.0,1321.0
9250,962779.0,1091556.0,1571264.0,201175218.0,1970.0
9300,962602.0,1101656.0,1590012.0,203456282.0,1385.0
9350,980757.0,1106699.0,1602176.0,205881705.0,1350.0
9400,976111.0,1113940.0,1615966.0,207839959.0,1341.0
9450,987027.0,1127666.0,1612628.0,209980679.0,1356.0
9500,994762.0,1133656.0,1624780.0,212156189.0,1327.0
9550,1000250.0,1137589.0,1636838.0,214927918.0,1328.0
9600,999196.0,1142300.0,1652359.0,217713782.0,1407.0
9650,1009523.0,1154438.0,1655471.0,220103431.0,1575.0
9700,1013151.0,1159785.0,1656299.0,222746402.0,1493.0
9750,1016730.0,1165449.0,1672572.0,225333123.0,1395.0
9800,1030422.0,1167902.0,1684874.0,228047359.0,1338.0
9850,1037881.0,1173352.0,1688026.0,230800204.0,1334.0
9900,1036823.0,1181983.0,1695170.0,232649536.0,1852.0
9950,1042247.0,1184673.0,1704926.0,234565536.0,1345.0
10000,1051170.0,1194919.0,1714985.0,237388544.0,1944.0
