Input Size,QuickSort,MergeSort,HeapSort,BubbleSort,NoSort
0,2700.0,2450.0,2350.0,3600.0,2200.0
2,1400.0,2150.0,1350.0,1450.0,1350.0
4,1350.0,1750.0,1350.0,1400.0,1050.0
6,1450.0,1600.0,1500.0,1300.0,4550.0
8,1700.0,1550.0,1600.0,1450.0,1000.0
10,1800.0,2800.0,1750.0,1600.0,1050.0
12,1750.0,1900.0,1900.0,1550.0,950.0
14,1950.0,2100.0,2350.0,1900.0,1050.0
16,1850.0,1950.0,4650.0,1950.0,900.0
18,1900.0,2200.0,2600.0,2100.0,950.0
20,1950.0,2300.0,2800.0,2450.0,900.0
22,1900.0,2400.0,2600.0,2600.0,900.0
24,1850.0,2300.0,2850.0,2950.0,900.0
26,2050.0,2550.0,3150.0,3300.0,1500.0
28,2200.0,2600.0,3050.0,3550.0,850.0
30,2600.0,2700.0,3200.0,3950.0,850.0
32,2700.0,2700.0,3450.0,4400.0,900.0
34,9550.0,3100.0,3650.0,4700.0,2450.0
36,2450.0,3100.0,3600.0,5200.0,950.0
38,2900.0,3300.0,4850.0,5600.0,1000.0
40,2750.0,3200.0,4150.0,6200.0,900.0
42,2900.0,4000.0,4400.0,6750.0,900.0
44,2750.0,3700.0,4600.0,7350.0,1000.0
46,2600.0,4100.0,4450.0,7950.0,900.0
48,2950.0,4050.0,5050.0,8600.0,1450.0
50,3050.0,4350.0,5550.0,9050.0,850.0
52,3100.0,4200.0,5350.0,9600.0,850.0
54,3050.0,4400.0,6150.0,10450.0,950.0
56,3000.0,4300.0,5700.0,12450.0,950.0
58,3200.0,4650.0,7000.0,11850.0,900.0
60,3250.0,4650.0,6150.0,12600.0,1050.0
62,3250.0,4850.0,6450.0,13300.0,1100.0
64,3250.0,4850.0,6950.0,14200.0,950.0
66,3550.0,5350.0,6850.0,15000.0,1000.0
68,3300.0,5350.0,6900.0,15700.0,1000.0
70,3500.0,5600.0,7000.0,16750.0,1050.0
72,3400.0,5450.0,7400.0,17500.0,1050.0
74,3600.0,5800.0,7450.0,18450.0,1050.0
76,6200.0,5700.0,8250.0,19350.0,1050.0
78,5900.0,5850.0,9600.0,20250.0,1000.0
80,4150.0,5750.0,8800.0,21350.0,950.0
82,4700.0,6550.0,9000.0,22400.0,1150.0
84,5000.0,6200.0,9100.0,23400.0,1100.0
86,4050.0,6400.0,12000.0,24400.0,1700.0
88,3950.0,6450.0,9650.0,25400.0,1150.0
90,4150.0,6650.0,9500.0,26450.0,950.0
92,4400.0,6600.0,9450.0,27750.0,1100.0
94,4250.0,7050.0,9500.0,28850.0,1350.0
96,4050.0,7200.0,9700.0,30050.0,1550.0
98,4750.0,7800.0,10200.0,31250.0,1300.0
100,4600.0,7350.0,11950.0,32450.0,1350.0
